air.id,traffic.id,distance
4,4284,68.9688747860421
4,3732,82.3544800052547
4,4286,94.3746788666747
4,4285,116.038455884099
4,4283,157.737582908613
4,4353,159.057962031146
4,4313,167.397903262554
4,7106,227.668796300416
4,4292,237.671819526118
4,4354,241.353821875197
4,4355,242.893373153183
4,7105,248.685510802876
4,4316,250.838906642471
4,7098,253.202936729756
4,7104,265.321402286037
4,4291,267.15197930513
4,4368,299.517617432648
4,4315,301.043017800335
4,4314,335.466627293582
4,4367,386.13478372139
4,4290,412.299312420827
4,7096,438.92986936447
4,4317,449.380188977718
4,4352,468.190661892901
4,7095,489.709279426628
4,4297,491.806805653634
4,4319,507.593603023553
4,4293,526.176012473408
4,4395,533.206447269812
4,4349,535.026859912142
4,4393,551.366997331781
4,4394,551.850986137808
4,4296,552.907751740546
4,4295,560.731511861324
4,4318,568.669931522734
4,3620,581.878486275333
4,4298,591.73912649802
4,4294,595.449458057149
4,4351,601.769506253101
4,4391,635.736392939573
4,3672,644.380318849679
4,4387,655.627239360836
4,4377,665.581504804605
4,4372,666.088837422252
4,4350,677.7247771997
4,3621,694.299523286521
4,10258,695.109805217272
4,10217,711.954626322508
4,4389,713.181679970603
4,4382,714.802089544315
4,4322,715.016157580502
4,4384,717.524819081416
4,10259,719.844825377523
4,4402,731.566518889422
4,4320,735.044357660821
4,4388,735.508601058143
4,7101,739.090596791703
4,4348,749.749579594795
4,4321,780.499857593541
4,5130,782.000714725938
4,4366,806.960327339173
4,4386,816.806983532745
4,4385,826.67613915732
4,4392,828.176022210939
4,4370,864.852985791849
4,4390,874.744141795705
4,4380,877.119872623678
4,7067,890.738281994741
4,4347,895.346086641922
4,4383,896.857893712846
4,4345,901.78349592338
4,4346,917.978284741933
4,4270,922.126370748608
4,4364,925.680998289889
4,3565,928.464036359258
4,4261,928.885376277723
4,7087,934.073425409005
4,4343,940.534668738629
4,4268,947.140555891924
4,4422,955.423386223505
4,3707,961.513461391485
4,4371,968.269420457314
